timestamp,run_id,opportunity_id,strategy,chain_id,chain_name,block_number,block_hash,rpc_provider,token_in,token_out,token_decimals,amount_in,venue,pool_address,pool_type,fee_tier,quote_out,quote_status,liquidity_status,gas_units,gas_price,l1_fee,flash_fee,bridge_fee,mev_fee,gross_pnl,net_pnl,pnl_unit,pnl_status,risk_status,simulation_status,execution_status,final_status,failure_code
2026-09-02T23:59:42.428277,RUN-1788372996,OPP-42161-SPAT-20260902-1788373784,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:44.657123,RUN-1788372996,OPP-42161-SPAT-20260902-1788373786,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,10000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:46.944513,RUN-1788372996,OPP-42161-SPAT-20260902-1788373789,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,50000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:49.082634,RUN-1788372996,OPP-42161-SPAT-20260902-1788373791,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,100000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:51.288526,RUN-1788372996,OPP-42161-SPAT-20260902-1788373793,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,500000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:53.861779,RUN-1788372996,OPP-42161-SPAT-20260902-1788373796,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,1000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:56.029728,RUN-1788372996,OPP-42161-SPAT-20260902-1788373798,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-02T23:59:58.144109,RUN-1788372996,OPP-42161-SPAT-20260903-1788373800,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,10000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:00.349863,RUN-1788372996,OPP-42161-SPAT-20260903-1788373802,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,50000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:02.594585,RUN-1788372996,OPP-42161-SPAT-20260903-1788373804,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,100000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
